price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3045401,5838,6,5,3,yes,yes,yes,yes,yes,3,yes,furnished
1101165,2391,1,2,1,yes,no,yes,no,no,0,yes,unfurnished
1839002,3387,4,3,2,no,yes,yes,no,yes,2,no,unfurnished
991642,955,2,2,1,no,yes,no,no,yes,0,yes,unfurnished
1330282,2970,2,1,1,no,no,no,no,yes,2,no,furnished
2056668,2787,4,5,1,yes,yes,yes,no,no,2,yes,unfurnished
628959,1058,1,1,3,no,no,yes,yes,no,1,no,semi-furnished
2213812,4358,4,4,2,yes,no,no,no,no,1,yes,unfurnished
714929,1344,1,1,2,yes,no,yes,no,no,3,no,unfurnished
1495499,1538,2,3,3,no,yes,no,no,yes,3,yes,unfurnished
1561365,2757,4,3,1,no,yes,yes,no,yes,0,no,semi-furnished
885829,1516,1,1,2,yes,yes,yes,yes,no,0,yes,furnished
2477094,4493,6,5,3,no,yes,yes,no,no,2,no,unfurnished
794048,1591,1,1,1,no,yes,yes,yes,yes,0,yes,furnished
474174,857,1,1,2,no,no,yes,yes,no,1,no,semi-furnished
1047856,1372,1,2,4,no,no,no,no,yes,0,yes,semi-furnished
1617981,3379,3,2,2,yes,no,yes,no,yes,2,no,furnished
2566530,4230,6,5,1,yes,yes,yes,yes,no,3,no,furnished
762180,1080,1,1,1,no,no,no,no,no,3,yes,furnished
1056902,2383,1,2,1,no,yes,yes,no,yes,0,yes,furnished
2758865,5474,5,6,2,no,yes,yes,yes,yes,3,no,semi-furnished
1458725,3173,2,2,4,yes,no,no,no,yes,0,no,unfurnished
960287,1419,1,2,2,no,yes,no,yes,yes,2,no,furnished
2972860,5050,7,6,1,no,yes,yes,no,yes,0,yes,semi-furnished
2681277,5554,5,6,3,yes,no,no,no,yes,0,no,semi-furnished
712664,629,1,1,3,yes,no,no,yes,yes,0,yes,unfurnished
2251119,3624,5,6,2,no,yes,yes,no,no,0,no,furnished
1999005,2644,4,3,3,no,yes,yes,yes,yes,3,yes,furnished
2288445,3321,4,5,2,no,yes,yes,no,yes,3,yes,furnished
1801680,3464,4,3,2,yes,yes,no,no,no,0,no,semi-furnished
2613058,4773,5,6,3,yes,yes,no,yes,no,0,yes,unfurnished
2578731,3431,5,5,4,yes,no,yes,no,yes,3,yes,unfurnished
1221289,2214,2,2,1,no,no,yes,no,no,3,no,semi-furnished
